b'I can\xe2\x80\x99t feel my face but it was so worth it. Ducks win!! #GoDucks',"Oregon, USA"
b'@LindaViking77 @Smilan317 Color',None
b'@KennediChatt Ion Got No Choice I Gotta Get THE Fuck \xf0\x9f\x98\x82\xf0\x9f\x98\xad',SAC ✈️ ATL ✈️ Jackson & DTX 📍
"b""Man!!! Nicky's Yogurt and Grill has a bomb vegan milkshake. I have to go and get another one TONIGHT!""",None
b'Speech! Speech! @ Ronald Reagan Presidential Library https://t.co/dMWy3ilAFo',None
b'Me and @smaaltez were just talking about this last night \xf0\x9f\x98\x85',None
"b""It's a BEAUTIFUL NIGHT at #CajunField for senior night!\nThank you seniors!\n#GeauxCajuns BEAT ULM!\n.\n.\n.\xe2\x80\xa6 https://t.co/ALCPVQSJ0m""","Lafayette, LA"
"b""@IAKOWRecruiting Because we're better than you....""",GEORGIA
"b'@tremor38 Loving the commies was bad enough, but this is absolutely unacceptable.'","Yokosuka, Kanagawa"
b'https://t.co/0X6fbtAR3X',NOLA - DLLS. 
b'@KosherTacoTruck @JReidNFL Yep. Just forgot to list',"Chicago, IL"
b'@littleashley84 Yeah you can\xe2\x80\x99t mess up hard liquor haha. Didn\xe2\x80\x99t get a chance to go to analog last week when I was i\xe2\x80\xa6 https://t.co/9eBq6kGIjd',"Houston, TX"
b'\xf0\x9f\x94\xa5\xf0\x9f\x9a\xa8Black Weekend Sale\xf0\x9f\x9a\xa8\xf0\x9f\x94\xa5\n\n@gorillawear has decided to extend the Black Friday sale. This whole weekend receive -30 to\xe2\x80\xa6 https://t.co/LKzU2rPQiy',"West Hollywood, CA"
b'@Alejand87026935 Si',None
b'Mf scan move around with that fake friendship bond shit. Not feeling it\xf0\x9f\x92\xaf',"Chicago, IL ✈️ Huntsville, AL"
b'This is outstanding.',None
b'Date was a 10/10',None
b'@kristysf Yep.',"Healdsburg, CA"
b'\xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4',NYC
b'Back home and already crying at The  Mandalorian',None
b'@canigetalamp We Stan with AMY',"North Carolina, USA"
b'#ILoveStarWarsBecauseI I Love #TheDarkSide https://t.co/BveFvzc7sH',"Wallingford, Connecticut "
b'@CoachGeee_MTXE @BLINNFBRECRUIT @kilgorecoach\n@CoachKevinRevis @SAVAGE_DEV \n@CoachWilk04 @StonyBrookFB\xe2\x80\xa6 https://t.co/YZSmUuCORi',None
b'THEY LINE BEEN DOING THIS!!',"256 to 251, in between🚗💨"
b'@itsmetiffanyb I can bring you whatever',"Taylor Mill, KY"
b'What roids am I on? Please list them out',Chicago
b'And the rest is history',"N.R.love—[Rahway,NJ]🇩🇴"
b'\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9',None
b'@PowersBrynley My god that looks fun',"Toledo, OH"
b'Connie said her mom loved a mink stole.  She had to purchase this one from nasuslorac  She said the men parted like\xe2\x80\xa6 https://t.co/TLbMBxDrpa',None
b'Def want a daiquiri. \xf0\x9f\xa4\x94',"Baton Rouge, LA"
b'@DapperMexican @Browntable_Ent https://t.co/cjf2nm34yC',"Denver, CO"
b'#HockeyFightsCancer night for the #leafs \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/mv43jHasoY',"Ontario, Canada "
b'Yes because I love giving people money on Venmo',"Parma, OH"
b'@clairermassey @ProudDem83 @MikeRJohnson777 @Rose52413 @ThomsonSherin @Claudiaxdo @wetuiozx @HondoResists\xe2\x80\xa6 https://t.co/x78M7PC3qE',"Jacksonville, FL  'Avondale'"
b'I\xe2\x80\x99m be fuck up soon',"Charleston, SC"
b'Excited to be headed home to Austin after a fun trip to Cali for Thanksgiving. A pretty sunset before we board our\xe2\x80\xa6 https://t.co/vitgPRmHZb',this life
b'@CCISD',"Corpus Christi, TX"
b'LMFAOOOOOOOOO https://t.co/R3l5vbEJJc',"Connecticut, USA"
b'@BroBrandonH Ok.',"Mississippi, USA"
b'@LuvHimKey \xf0\x9f\xa4\xa4\xf0\x9f\x98\x8d',"Louisville, KY"
"b'Chasms 10, Academy 7.\nCould be worst hosing Catholics have taken in Prep Bowl since that Blaine-Cretin fiasco three decades ago.'",The Valley or The Fort
b'CONGRATULATIONS @Sue_Hylland  and your U OTTAWA Gee Gees Women Soccer. World University Champs! Go Canada\xe2\x80\xa6 https://t.co/Ekq61vNWzm',"Waterloo, Ontario, Canada"
b'Lil sis just had a baby so I\xe2\x80\x99m a uncle \xf0\x9f\x98\xaf',"Frankfort, KY"
"b'Ma\xe2\x80\x99am, please drop out of the race and check into the nearest assisted living facility'","Wolfeboro, NH"
b'Hope you had a fantastic Thanksgiving!!\xf0\x9f\xa6\x83 \xf0\x9f\x91\x89Just put a new post up on https://t.co/f5AWzKLD9B!  \xe2\x9c\x94\xef\xb8\x8f it out &amp; get ready\xe2\x80\xa6 https://t.co/u7kuuMJg0O',"California, USA"
b'@PupHelios I\xe2\x80\x99d have both. \xf0\x9f\x98\x88',"Arlington, VA"
b'@harnessdhashtag \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/RB1PrDQSwW',Packer Country Baby
b'Let the record show I am watching and am engaged in football. That\xe2\x80\x99s all.',"Washington, DC"
b'@ChannonRose I sent this to my family too!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82',None
b'@5StarrQuality 6124183526',None
b'Been doin dat foreva',"Dallas, TX"
b'My goal is a 1000 followers. #bigdreams #BBN #WeAreUK #Kentucky',"Clarksville, TN"
b'Najee Harris is going to be soreeee in the morning',"Detroit, MI"
b'@dounia you live &amp; you learn \xf0\x9f\x98\x94',"Queens, baby"
b'Whos ninja why would I text him',Colorado
b'@5kWill @CantBanChi Lolllllll you and your follower friends delusional fr. Black women are the biggest champions of #blacklove on here.',ATL & NYC & SF/LA
b'When you find a Mexican restaurant on Main St in Bethlehem PA \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd #blacxican #mexican #guacamole #chips  \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0 @ Bethle\xe2\x80\xa6 https://t.co/xDFdSygAhr',None
b'Ant tweets are so funny \xf0\x9f\x98\x82\xf0\x9f\x98\x82',"Mississippi, USA"
b'@LiveFor_Chey Nope I\xe2\x80\x99ll be out the country so nope nope',NJ/NYC
