,"(1, 'mean')","(2, 'size')",3,4
Abilene,0.898212552,1,32.45,-99.74
Akron,0.29946632999999995,2,41.08,-81.52
Albany,-0.38471844925,4,42.67,-73.8
Albuquerque,-0.06121955516666668,6,35.12,-106.62
Alexandria,0.14388476914285717,7,38.82,-77.09
Allentown,-0.7694029538333332,6,40.6,-75.48
Amarillo,-0.31073676171428577,7,35.2,-101.82
Antioch,0.23388735266666663,3,37.99,-121.8
Arlington,0.010930801222222243,9,32.69,-97.13
Arlington,0.010930801222222243,9,38.88,-77.1
Atlanta,0.1121658089056604,53,33.76,-84.42
Austin,-0.041037044955555574,45,30.31,-97.75
Bakersfield,-0.8692038009999999,1,35.36,-119.0
Baltimore,0.051781361562499996,16,39.3,-76.61
Beaumont,-0.5405871839999999,1,30.09,-94.14
Berkeley,0.36214982975,4,37.87,-122.27
Billings,-0.973988593,1,45.79,-108.54
Birmingham,-0.40969055542857147,7,33.53,-86.8
Boston,-0.10782606994736843,38,42.34,-71.02
Boulder,-0.646977175,1,40.03,-105.25
Buffalo,-0.011879196000000002,11,42.89,-78.86
Burbank,-0.3027306281428571,7,34.19,-118.33
Cambridge,-0.2813522303333333,3,42.38,-71.12
Carson,0.417847323,1,33.84,-118.26
Centennial,-0.838272501,1,39.6,-104.85
Chandler,-0.08297226542857142,7,33.3,-111.87
Charleston,-0.16704550250000003,12,32.79,-79.99
Charlotte,-0.36468817337500004,16,35.2,-80.83
Chattanooga,0.678868757,1,35.07,-85.26
Chicago,-0.10306994449074074,108,41.84,-87.68
Cincinnati,-0.004146949166666673,12,39.14,-84.51
Clarksville,0.8483681590000001,2,36.56,-87.35
Clearwater,-0.36787944100000003,2,27.98,-82.77
Cleveland,0.18480348705555555,18,41.48,-81.68
Columbia,-0.3191383222,5,34.04,-80.89
Columbia,-0.3191383222,5,39.2,-76.86
Columbus,0.0427575639473684,19,39.99,-82.99
Columbus,0.0427575639473684,19,32.51,-84.87
Concord,-0.535868421,1,37.97,-122.0
Dallas,0.1071046775277778,36,32.79,-96.77
Davenport,-0.513615705,1,41.56,-90.6
Dayton,0.45177965299999995,1,39.78,-84.2
Denton,0.8230343529999999,1,33.21,-97.13
Denver,-0.0966840632727273,33,39.77,-104.87
Detroit,0.4515087215,6,42.38,-83.1
Durham,0.05186897600000001,2,35.98,-78.91
Erie,0.4950848485,2,42.13,-80.09
Eugene,-0.45824271899999997,7,44.05,-123.11
Evansville,-0.614117465,4,37.98,-87.54
Fairfield,-0.7879525574999999,2,38.25,-122.04
Fargo,-0.8429275654999999,2,46.88,-96.82
Fayetteville,-0.26823134899999995,4,35.07,-78.9
Fontana,-0.742963335,1,34.1,-117.46
Fort worth,-0.09939835600000003,3,32.75,-97.34
Fremont,0.03825306649999999,2,37.53,-122.0
Fresno,-0.698164365,2,36.78,-119.79
Gainesville,-0.66343258,2,29.67,-82.34
Garland,-0.466936711,1,32.91,-96.63
Gilbert,-0.16237307083333338,6,33.33,-111.76
Glendale,0.011724912499999962,2,33.58,-112.2
Glendale,0.011724912499999962,2,34.18,-118.25
Greensboro,-0.24335825949999998,2,36.08,-79.83
Gresham,0.048350369000000004,8,45.5,-122.44
Hampton,-0.4575981048,5,37.05,-76.29
Hartford,-0.257225724,3,41.77,-72.68
Henderson,-0.26454030266666667,6,36.03,-115.0
Hollywood,-0.1453084051428571,14,26.03,-80.16
Houston,-0.05585088167213112,61,29.77,-95.39
Huntsville,0.12810456199999992,2,34.71,-86.63
Independence,-0.75451209825,4,39.09,-94.35
Indianapolis,-0.11108110899999998,19,39.78,-86.15
Inglewood,0.33757214728571433,7,33.96,-118.34
Irvine,0.010958711499999996,2,33.66,-117.8
Irving,0.9115477059999999,1,32.86,-96.97
Jackson,-0.2987564955,6,32.32,-90.21
Jacksonville,0.021028372333333323,15,30.33,-81.66
Joliet,0.41714590799999995,1,41.53,-88.12
Knoxville,-0.49490569375000004,4,35.97,-83.95
Lafayette,-0.437926544,3,30.22,-92.03
Lakewood,0.08208929000000001,4,39.7,-105.11
Lansing,0.8283359824,5,42.71,-84.55
Lincoln,0.29037803100000004,7,40.82,-96.69
Livonia,0.515054734,1,42.4,-83.37
Louisville,0.09282010875,8,38.22,-85.74
Lowell,0.011977386599999995,5,42.64,-71.32
Madison,-0.005884006333333312,6,43.08,-89.39
Manchester,-0.018817796272727273,11,42.98,-71.44
Memphis,0.096664372,10,35.11,-90.01
Mesa,0.025630890000000024,7,33.42,-111.74
Metairie,0.873183688,1,30.0,-90.18
Miami,-0.39825239285,20,25.78,-80.21
Midland,-0.2181971973333333,3,32.03,-102.1
Milwaukee,-0.05635569699999998,5,43.06,-87.97
Minneapolis,-0.08596235772,25,44.96,-93.27
